Player,Position,Class,Latest Team,Season,Destination Team,Date Entered
Will Newell,,,,,,
P,SR,,,,,
Dayton,,,,,,
2025,,,,,,
Georgetown,,,,,,
8/7/2025,,,,,,
Will Newell,,,,,,
P,SR,,,,,
Dayton,,,,,,
2025,,,,,,
Georgetown,,,,,,
8/7/2025,,,,,,
Chase Richter,,,,,,
P,SR,,,,,
Arkansas State,,,,,,
2025,,,,,,
Tampa,,,,,,
8/7/2025,,,,,,
Carson Keithley,,,,,,
P,JR,,,,,
Arkansas State,,,,,,
2025,--,8/7/2025,,,,
Jafet Martinez,,,,,,
P,SO,,,,,
Alabama State,,,,,,
2025,,,,,,
Francis Marion,,,,,,
8/5/2025,,,,,,
Dariyan Pendergrass,,,,,,
CF,SR,,,,,
College of Charleston,,,,,,
2025,,,,,,
Texas,,,,,,
8/5/2025,,,,,,
Jared White,,,,,,
P,FR,,,,,
Tarleton State,,,,,,
2025,,,,,,
Texas A&M,,,,,,
8/5/2025,,,,,,
Caden Lockwood,,,,,,
UT,SO,,,,,
Ball State,,,,,,
2025,--,8/5/2025,,,,
Alex Christie,,,,,,
DH,GR,,,,,
College of Charleston,,,,,,
2025,,,,,,
Butler,,,,,,
8/4/2025,,,,,,
Brendan Cowen,,,,,,
P,FR,,,,,
Virginia Tech,,,,,,
2025,,,,,,
Virginia,,,,,,
8/2/2025,,,,,,
Marcel Kulik,,,,,,
P,FR,,,,,
Virginia Tech,,,,,,
2025,,,,,,
Auburn,,,,,,
8/2/2025,,,,,,
Luke Reasor,,,,,,
P,FR,,,,,
Purdue,,,,,,
2025,,,,,,
Lake Erie College,,,,,,
7/30/2025,,,,,,
Manny Souffrain,,,,,,
1B,SR,,,,,
Bethune-Cookman,,,,,,
2025,,,,,,
Jacksonville,,,,,,
7/29/2025,,,,,,
Josh Rodriguez,,,,,,
2B,SO,,,,,
Bethune-Cookman,,,,,,
2025,--,7/29/2025,,,,
TJ Neal,,,,,,
C,SO,,,,,
Alabama State,,,,,,
2025,--,7/28/2025,,,,
Anthony Edge,,,,,,
P,SO,,,,,
Bradley,,,,,,
2025,--,7/26/2025,,,,
